,name,price,status,shipping,free_returns,items_sold
145,Ingersoll Rand Air Hammer & Chisel Set- 2 5/8in Stroke 3500 BPM Model# 114GQC,5999,Brand New,0,False,2282
146,"Brass Punch Set, Hammer Bench Block Kit | Gunsmithing, Gun Repair Tools Kit",2590,Brand New,0,False,
147,5 PC BALL PEIN HAMMER SET HEAVY DUTY FIBERGLASS HANDLE 8 12 16 24 32 Oz Tool,3995,Brand New,,True,
148,24 oz Dead Blow Hammer Dual Head Ball Peen Blow Striking Flat Pein Non-Slip,2384,Brand New,0,True,
149,Titan Tools 3-piece Dead Blow Hammer Set,3106,Brand New,1265,True,
150,"Maxpower 4 lb Sledge Hammer Steel Head & 12"" Shock-Resistant Fiberglass Handle",2399,Brand New,0,False,
151, Milwaukee Magnetic Nail Set Milled Face Framing Hammer Hickory Wood Handle 19,1799,Brand New,0,True,0
152,Stiletto TiBone TBII 15oz Titanium Claw Hammer NICE!!! -,15805,Pre-Owned,1800,False,
153, Dewalt 3 lb. Fiberglass Drilling Hammer Forged Steel Head Overstrike Protection,2232,Brand New,0,False,0
154,Proto Ball Peen Hammer 16oz  with Fiberglass Handle,1999,Pre-Owned,740,False,
155,"Non-Sparking Safety Hammer 2-lb Brass Drilling Hammer Head, 12-1/2"" Wood Handle",2999,Brand New,0,False,0
156,Pair of Vintage PLUMB Hammer Heads,650,Pre-Owned,999,False,
157,"Hammer Handle Octagon 14"" lg Nail or Claw Hammer",590,Brand New,700,False,
158,2 lb. Fiberglass Drilling Hammer,1852,Brand New,0,False,0
159,Dalluge 21Oz Framing Hammer,5682,Brand New,,True,0
160,Tekton 16 oz. Jacketed Fiberglass Brass Hammer 30903,3183,Brand New,0,True,
161,"Vaughan Tr12 Riveting Hammer,12 Oz,Hickory",1884,Brand New,500,True,
162,"HART 20oz Handheld Steel Hammer, Rip Claw, Magnetic Nail Starter, Rubber Grip",3389,Brand New,0,False,0
163,"14 1/4"" Hickory Replacement Craftsman Hammer Etc. Handle W/ Metal Wedge ~  @96 ",995,Brand New,,False,0
164,"New Hickory 12” Replacement Ball Pein, Ball Peen Hammer Handle With Wedges",1095,Brand New,0,False,
165,NEW Nupla USA SPS105 Soft Face Hammer w/ Fiberglass Handle,2299,Brand New,0,False,0
166,New ListingAntique Blacksmith Hand Forged Claw Hammer,3500,Pre-Owned,600,True,0
167,SNAP ON HBBT24 BRONZE TIP 24 oz. HAMMER  MECHANIC'S TOOL U.S. MADE,4500,Pre-Owned,900,True,
168,Craftsman 2 pound Dead Blow Hammer #38394,5000,Open Box,,False,
169,"Wilton 90212 12"" BASH Brass Sledge Hammer with 2-1/2 Lb Head BRAND NEW!!!",5199,Brand New,0,False,
170,"Mountain 4044 4-Piece Hammer Set - (3) Dead Blow Hammers, (1) Piston Hammer",5294,Brand New,,False,
171,"Master Mechanic Drilling Hammer, 3-Lb.",2470,Brand New,0,True,
172,Vaughan 19Oz Curved Wood Handle Frame Hammer,3400,Brand New,0,False,
173,Milwaukee 48-22-9040 4IN1 Lineman's Hammer,5999,Brand New,0,True,0
174,Vintage Custanite Corp No. 150 Hammer Mallet Pat Pend NO HANDLE,2995,Pre-Owned,930,True,
175,New ListingVintage STANLEY HERCULES Claw Hammer 7 OZ (1803),999,,895,False,
176,2lb / 32oz Dead Blow Hammer Ball Peen/Pein Dual Face Flat & Peen Hammer Orange,2195,Brand New,,False,77
177,"USA Old Tool Shapleighs Hardware Claw Hammer 1lb 6oz Length 13.5"" ",999,Pre-Owned,900,False,
178,stiletto hammer 14oz,9400,Pre-Owned,2115,False,
179,Cobblers Hammer vintage closed claw antique tool shoemaker 8” In Len d,1990,Pre-Owned,930,False,
180,Milwaukee 48-22-9040 4-in-1 15 in. Lineman's Hammer New,5999,Brand New,,True,0
181,VCT 8pc Piece Hammer Head Screwdriver Commercial Grade Set Magnetic Tip ,1995,Brand New,,True,
182,Bostitch 56810 10 lbs. Quality Hickory Handle Sledge Forged-Steel Hammer New,3499,Brand New,,True,
183,Stiletto Hammer 15 oz TiBone 3 Milled Face Curved Handle Hand Tool Straight Claw,22699,Brand New,0,True,0
184,"1× Brass Hexagon Hammer Head Replacement - 10 oz. 3-1/4"" LOOK ",2300,Brand New,0,False,
185,12 OZ SMALL BRASS HEAD WOOD WOODEN MALLET HAMMER TOOL,2595,Brand New,,True,160
186,"Vintage 28 Ounce, Bostitch Framing Hammer, Orig. Handle, Magnetic Nail Holder",1499,Pre-Owned,2190,False,
187,Estwing - E3-12S Hammer - 12 oz Straight Rip Claw with Smooth Face Used,1295,Pre-Owned,1054,False,
188,16 oz. Hammer Fiberglass Handle Rip and Claw Hammer Set of 2,2175,Brand New,,True,
189,REAL STEEL 0508 Rubber Grip Forged Jacketed Graphite Drilling Sledge Hammer ,1923,Brand New,,False,0
190,Stiletto Curved Hickory Wood Hammer  Handle 18 Inches Length Axe Eye,3832,Brand New,0,False,
191,P&C 1304 Ball-Peen Hammer Original Blue Handle 1930’s/40’s,3600,Pre-Owned,925,False,
